State,TargetDate,MostBoughtSize,Count
ANDAMAN & NICOBAR,06-02-22,XL,3
ANDAMAN & NICOBAR,06-03-22,M,3
ANDAMAN & NICOBAR,06-04-22,XXL,5
ANDAMAN & NICOBAR,06-05-22,XXL,5
ANDAMAN & NICOBAR,06-06-22,XXL,6
ANDAMAN & NICOBAR,06-07-22,XXL,6
ANDAMAN & NICOBAR,06-08-22,XXL,6
ANDAMAN & NICOBAR,06-09-22,XXL,7
ANDAMAN & NICOBAR,06-10-22,XXL,5
ANDAMAN & NICOBAR,06-11-22,M,4
ANDAMAN & NICOBAR,06-12-22,L,5
ANDAMAN & NICOBAR,06-13-22,L,4
ANDAMAN & NICOBAR,06-14-22,L,4
ANDAMAN & NICOBAR,06-15-22,XS,8
ANDAMAN & NICOBAR,06-16-22,XS,9
ANDAMAN & NICOBAR,06-17-22,XS,8
ANDAMAN & NICOBAR,06-18-22,XS,8
ANDAMAN & NICOBAR,06-19-22,XS,8
ANDAMAN & NICOBAR,06-20-22,XS,7
ANDAMAN & NICOBAR,06-21-22,M,6
ANDAMAN & NICOBAR,06-22-22,M,7
ANDAMAN & NICOBAR,06-23-22,M,8
ANDAMAN & NICOBAR,06-24-22,M,10
ANDAMAN & NICOBAR,06-25-22,M,9
ANDAMAN & NICOBAR,06-26-22,M,9
ANDAMAN & NICOBAR,06-27-22,M,11
ANDAMAN & NICOBAR,06-28-22,M,9
ANDAMAN & NICOBAR,06-29-22,M,8
ANDAMAN & NICOBAR,06-30-22,M,6
ANDAMAN & NICOBAR,07-01-22,M,4
ANDAMAN & NICOBAR,07-02-22,M,4
ANDAMAN & NICOBAR,07-03-22,M,3
ANDAMAN & NICOBAR,07-04-22,M,1
ANDAMAN & NICOBAR,07-05-22,M,1
ANDHRA PRADESH,04-01-22,3XL,1
ANDHRA PRADESH,04-02-22,M,12
ANDHRA PRADESH,04-03-22,M,18
ANDHRA PRADESH,04-04-22,M,28
ANDHRA PRADESH,04-05-22,S,35
ANDHRA PRADESH,04-06-22,M,42
ANDHRA PRADESH,04-07-22,XXL,52
ANDHRA PRADESH,04-08-22,XXL,62
ANDHRA PRADESH,04-09-22,XXL,62
ANDHRA PRADESH,04-10-22,L,67
ANDHRA PRADESH,04-11-22,L,72
ANDHRA PRADESH,04-12-22,L,75
ANDHRA PRADESH,04-13-22,L,76
ANDHRA PRADESH,04-14-22,L,71
ANDHRA PRADESH,04-15-22,L,69
ANDHRA PRADESH,04-16-22,L,69
ANDHRA PRADESH,04-17-22,M,62
ANDHRA PRADESH,04-18-22,M,61
ANDHRA PRADESH,04-19-22,M,71
ANDHRA PRADESH,04-20-22,XL,72
ANDHRA PRADESH,04-21-22,XL,74
ANDHRA PRADESH,04-22-22,L,81
ANDHRA PRADESH,04-23-22,L,80
ANDHRA PRADESH,04-24-22,L,88
ANDHRA PRADESH,04-25-22,L,89
ANDHRA PRADESH,04-26-22,L,84
ANDHRA PRADESH,04-27-22,L,82
ANDHRA PRADESH,04-28-22,L,78
ANDHRA PRADESH,04-29-22,M,75
ANDHRA PRADESH,04-30-22,M,77
ANDHRA PRADESH,05-01-22,M,71
ANDHRA PRADESH,05-02-22,S,67
ANDHRA PRADESH,05-03-22,XL,69
ANDHRA PRADESH,05-04-22,S,73
ANDHRA PRADESH,05-05-22,M,73
ANDHRA PRADESH,05-06-22,M,78
ANDHRA PRADESH,05-07-22,L,75
ANDHRA PRADESH,05-08-22,XL,78
ANDHRA PRADESH,05-09-22,L,85
ANDHRA PRADESH,05-10-22,L,76
ANDHRA PRADESH,05-11-22,L,71
ANDHRA PRADESH,05-12-22,M,59
ANDHRA PRADESH,05-13-22,L,55
ANDHRA PRADESH,05-14-22,M,57
ANDHRA PRADESH,05-15-22,L,52
ANDHRA PRADESH,05-16-22,M,48
ANDHRA PRADESH,05-17-22,XL,50
ANDHRA PRADESH,05-18-22,L,52
ANDHRA PRADESH,05-19-22,L,61
ANDHRA PRADESH,05-20-22,L,64
ANDHRA PRADESH,05-21-22,L,57
ANDHRA PRADESH,05-22-22,L,55
ANDHRA PRADESH,05-23-22,L,47
ANDHRA PRADESH,05-24-22,L,43
ANDHRA PRADESH,05-25-22,XXL,44
ANDHRA PRADESH,05-26-22,M,47
ANDHRA PRADESH,05-27-22,M,43
ANDHRA PRADESH,05-28-22,M,52
ANDHRA PRADESH,05-29-22,M,60
ANDHRA PRADESH,05-30-22,M,62
ANDHRA PRADESH,05-31-22,M,64
ANDHRA PRADESH,06-01-22,M,67
ANDHRA PRADESH,06-02-22,M,62
ANDHRA PRADESH,06-03-22,M,61
ANDHRA PRADESH,06-04-22,L,60
ANDHRA PRADESH,06-05-22,L,67
ANDHRA PRADESH,06-06-22,L,73
ANDHRA PRADESH,06-07-22,L,74
ANDHRA PRADESH,06-08-22,L,81
ANDHRA PRADESH,06-09-22,L,84
ANDHRA PRADESH,06-10-22,L,85
ANDHRA PRADESH,06-11-22,L,76
ANDHRA PRADESH,06-12-22,L,78
ANDHRA PRADESH,06-13-22,L,76
ANDHRA PRADESH,06-14-22,L,75
ANDHRA PRADESH,06-15-22,M,76
ANDHRA PRADESH,06-16-22,M,75
ANDHRA PRADESH,06-17-22,M,78
ANDHRA PRADESH,06-18-22,M,77
ANDHRA PRADESH,06-19-22,M,74
ANDHRA PRADESH,06-20-22,L,70
ANDHRA PRADESH,06-21-22,L,66
ANDHRA PRADESH,06-22-22,L,68
ANDHRA PRADESH,06-23-22,L,70
ANDHRA PRADESH,06-24-22,L,76
ANDHRA PRADESH,06-25-22,L,70
ANDHRA PRADESH,06-26-22,L,68
ANDHRA PRADESH,06-27-22,M,65
ANDHRA PRADESH,06-28-22,L,63
ANDHRA PRADESH,06-29-22,M,65
ANDHRA PRADESH,06-30-22,M,57
ANDHRA PRADESH,07-01-22,M,49
ANDHRA PRADESH,07-02-22,M,32
ANDHRA PRADESH,07-03-22,M,26
ANDHRA PRADESH,07-04-22,M,19
ANDHRA PRADESH,07-05-22,M,11
ANDHRA PRADESH,07-06-22,S,3
ARUNACHAL PRADESH,04-02-22,S,2
ARUNACHAL PRADESH,04-03-22,S,2
ARUNACHAL PRADESH,04-04-22,3XL,3
ARUNACHAL PRADESH,04-05-22,3XL,3
ARUNACHAL PRADESH,04-06-22,XS,5
ARUNACHAL PRADESH,04-07-22,XS,6
ARUNACHAL PRADESH,04-08-22,XS,6
ARUNACHAL PRADESH,04-09-22,XS,6
ARUNACHAL PRADESH,04-10-22,XS,6
ARUNACHAL PRADESH,04-11-22,XS,4
ARUNACHAL PRADESH,04-12-22,XS,3
ARUNACHAL PRADESH,04-13-22,XL,2
ARUNACHAL PRADESH,04-14-22,XL,2
ARUNACHAL PRADESH,04-15-22,S,4
ARUNACHAL PRADESH,04-16-22,S,6
ARUNACHAL PRADESH,04-17-22,S,5
ARUNACHAL PRADESH,04-18-22,S,5
ARUNACHAL PRADESH,04-19-22,S,5
ARUNACHAL PRADESH,04-20-22,S,5
ARUNACHAL PRADESH,04-21-22,S,5
ARUNACHAL PRADESH,04-22-22,M,3
ARUNACHAL PRADESH,04-23-22,M,3
ARUNACHAL PRADESH,04-24-22,M,3
ARUNACHAL PRADESH,04-25-22,3XL,2
ARUNACHAL PRADESH,04-26-22,M,4
ARUNACHAL PRADESH,04-27-22,3XL,2
ARUNACHAL PRADESH,04-28-22,M,2
ARUNACHAL PRADESH,04-29-22,M,2
ARUNACHAL PRADESH,04-30-22,M,2
ARUNACHAL PRADESH,05-01-22,M,2
ARUNACHAL PRADESH,05-02-22,M,2
ARUNACHAL PRADESH,05-03-22,L,2
ARUNACHAL PRADESH,05-04-22,L,2
ARUNACHAL PRADESH,05-05-22,L,4
ARUNACHAL PRADESH,05-06-22,L,5
ARUNACHAL PRADESH,05-07-22,L,6
ARUNACHAL PRADESH,05-08-22,L,5
ARUNACHAL PRADESH,05-09-22,L,5
ARUNACHAL PRADESH,05-10-22,L,4
ARUNACHAL PRADESH,05-11-22,L,9
ARUNACHAL PRADESH,05-12-22,L,7
ARUNACHAL PRADESH,05-13-22,L,6
ARUNACHAL PRADESH,05-14-22,L,5
ARUNACHAL PRADESH,05-15-22,L,5
ARUNACHAL PRADESH,05-16-22,L,5
ARUNACHAL PRADESH,05-17-22,L,5
ARUNACHAL PRADESH,05-18-22,S,3
ARUNACHAL PRADESH,05-19-22,S,3
ARUNACHAL PRADESH,05-20-22,S,3
ARUNACHAL PRADESH,05-21-22,S,3
ARUNACHAL PRADESH,05-22-22,S,3
ARUNACHAL PRADESH,05-23-22,M,3
ARUNACHAL PRADESH,05-24-22,M,6
ARUNACHAL PRADESH,05-25-22,M,6
ARUNACHAL PRADESH,05-26-22,M,6
ARUNACHAL PRADESH,05-27-22,M,5
ARUNACHAL PRADESH,05-28-22,M,4
ARUNACHAL PRADESH,05-29-22,M,4
ARUNACHAL PRADESH,05-30-22,M,3
ARUNACHAL PRADESH,05-31-22,S,2
ARUNACHAL PRADESH,06-01-22,S,2
ARUNACHAL PRADESH,06-02-22,S,2
ARUNACHAL PRADESH,06-03-22,S,2
ARUNACHAL PRADESH,06-04-22,XS,3
ARUNACHAL PRADESH,06-05-22,L,2
ARUNACHAL PRADESH,06-06-22,L,4
ARUNACHAL PRADESH,06-07-22,L,4
ARUNACHAL PRADESH,06-08-22,L,4
ARUNACHAL PRADESH,06-09-22,L,3
ARUNACHAL PRADESH,06-10-22,L,4
ARUNACHAL PRADESH,06-11-22,L,4
ARUNACHAL PRADESH,06-12-22,L,4
ARUNACHAL PRADESH,06-13-22,L,4
ARUNACHAL PRADESH,06-14-22,L,5
ARUNACHAL PRADESH,06-15-22,L,5
ARUNACHAL PRADESH,06-16-22,L,6
ARUNACHAL PRADESH,06-17-22,L,4
ARUNACHAL PRADESH,06-18-22,L,4
ARUNACHAL PRADESH,06-19-22,L,4
ARUNACHAL PRADESH,06-20-22,XXL,2
ARUNACHAL PRADESH,06-21-22,S,1
ARUNACHAL PRADESH,06-22-22,XL,1
ARUNACHAL PRADESH,06-23-22,S,1
ARUNACHAL PRADESH,06-24-22,S,1
ARUNACHAL PRADESH,06-25-22,S,2
ARUNACHAL PRADESH,06-26-22,S,2
ARUNACHAL PRADESH,06-27-22,S,2
ARUNACHAL PRADESH,06-28-22,M,3
ARUNACHAL PRADESH,06-29-22,M,3
ARUNACHAL PRADESH,06-30-22,M,3
ARUNACHAL PRADESH,07-01-22,M,3
ARUNACHAL PRADESH,07-02-22,M,2
ARUNACHAL PRADESH,07-03-22,M,1
ARUNACHAL PRADESH,07-04-22,M,1
AR,05-31-22,L,1
AR,06-01-22,L,1
AR,06-02-22,L,1
AR,06-03-22,L,1
AR,06-04-22,L,1
AR,06-05-22,L,1
AR,06-06-22,L,1
ASSAM,04-02-22,L,6
ASSAM,04-03-22,L,11
ASSAM,04-04-22,L,13
ASSAM,04-05-22,M,18
ASSAM,04-06-22,M,26
ASSAM,04-07-22,L,35
ASSAM,04-08-22,L,36
ASSAM,04-09-22,S,37
ASSAM,04-10-22,S,34
ASSAM,04-11-22,S,37
ASSAM,04-12-22,S,35
ASSAM,04-13-22,L,34
ASSAM,04-14-22,S,30
ASSAM,04-15-22,S,29
ASSAM,04-16-22,L,29
ASSAM,04-17-22,M,30
ASSAM,04-18-22,M,32
ASSAM,04-19-22,M,35
ASSAM,04-20-22,M,35
ASSAM,04-21-22,M,36
ASSAM,04-22-22,M,33
ASSAM,04-23-22,M,35
ASSAM,04-24-22,M,35
ASSAM,04-25-22,S,32
ASSAM,04-26-22,S,34
ASSAM,04-27-22,S,34
ASSAM,04-28-22,S,35
ASSAM,04-29-22,S,35
ASSAM,04-30-22,S,29
ASSAM,05-01-22,S,30
ASSAM,05-02-22,S,26
ASSAM,05-03-22,M,24
ASSAM,05-04-22,S,25
ASSAM,05-05-22,M,27
ASSAM,05-06-22,M,27
ASSAM,05-07-22,M,28
ASSAM,05-08-22,M,24
ASSAM,05-09-22,M,25
ASSAM,05-10-22,M,24
ASSAM,05-11-22,M,24
ASSAM,05-12-22,M,21
ASSAM,05-13-22,M,20
ASSAM,05-14-22,S,16
ASSAM,05-15-22,S,18
ASSAM,05-16-22,S,18
ASSAM,05-17-22,S,21
ASSAM,05-18-22,S,22
ASSAM,05-19-22,S,22
ASSAM,05-20-22,S,22
ASSAM,05-21-22,S,22
ASSAM,05-22-22,L,21
ASSAM,05-23-22,L,21
ASSAM,05-24-22,S,16
ASSAM,05-25-22,L,17
ASSAM,05-26-22,L,18
ASSAM,05-27-22,L,17
ASSAM,05-28-22,L,17
ASSAM,05-29-22,L,13
ASSAM,05-30-22,M,15
ASSAM,05-31-22,M,15
ASSAM,06-01-22,M,16
ASSAM,06-02-22,S,15
ASSAM,06-03-22,L,21
ASSAM,06-04-22,L,20
ASSAM,06-05-22,L,25
ASSAM,06-06-22,L,26
ASSAM,06-07-22,L,25
ASSAM,06-08-22,L,27
ASSAM,06-09-22,L,27
ASSAM,06-10-22,M,21
ASSAM,06-11-22,S,24
ASSAM,06-12-22,S,23
ASSAM,06-13-22,M,21
ASSAM,06-14-22,M,22
ASSAM,06-15-22,S,20
ASSAM,06-16-22,M,22
ASSAM,06-17-22,M,23
ASSAM,06-18-22,M,25
ASSAM,06-19-22,M,24
ASSAM,06-20-22,M,25
ASSAM,06-21-22,M,22
ASSAM,06-22-22,M,25
ASSAM,06-23-22,M,24
ASSAM,06-24-22,M,22
ASSAM,06-25-22,M,21
ASSAM,06-26-22,M,22
ASSAM,06-27-22,M,23
ASSAM,06-28-22,M,23
ASSAM,06-29-22,M,20
ASSAM,06-30-22,M,17
ASSAM,07-01-22,M,15
ASSAM,07-02-22,M,12
ASSAM,07-03-22,M,10
ASSAM,07-04-22,S,6
ASSAM,07-05-22,3XL,2
ASSAM,07-06-22,S,1
BIHAR,04-01-22,M,3
BIHAR,04-02-22,M,9
BIHAR,04-03-22,S,12
BIHAR,04-04-22,M,20
BIHAR,04-05-22,M,26
BIHAR,04-06-22,M,31
BIHAR,04-07-22,M,39
BIHAR,04-08-22,M,42
BIHAR,04-09-22,M,42
BIHAR,04-10-22,M,43
BIHAR,04-11-22,M,40
BIHAR,04-12-22,M,39
BIHAR,04-13-22,M,39
BIHAR,04-14-22,M,34
BIHAR,04-15-22,M,35
BIHAR,04-16-22,M,38
BIHAR,04-17-22,M,39
BIHAR,04-18-22,M,39
BIHAR,04-19-22,M,46
BIHAR,04-20-22,M,45
BIHAR,04-21-22,M,50
BIHAR,04-22-22,M,50
BIHAR,04-23-22,M,47
BIHAR,04-24-22,M,45
BIHAR,04-25-22,M,44
BIHAR,04-26-22,M,37
BIHAR,04-27-22,M,41
BIHAR,04-28-22,M,35
BIHAR,04-29-22,M,30
BIHAR,04-30-22,M,31
BIHAR,05-01-22,M,38
BIHAR,05-02-22,M,36
BIHAR,05-03-22,M,40
BIHAR,05-04-22,M,36
BIHAR,05-05-22,M,41
BIHAR,05-06-22,M,45
BIHAR,05-07-22,M,41
BIHAR,05-08-22,M,32
BIHAR,05-09-22,M,35
BIHAR,05-10-22,S,29
BIHAR,05-11-22,M,27
BIHAR,05-12-22,M,21
BIHAR,05-13-22,M,24
BIHAR,05-14-22,M,22
BIHAR,05-15-22,M,23
BIHAR,05-16-22,M,22
BIHAR,05-17-22,M,21
BIHAR,05-18-22,L,21
BIHAR,05-19-22,M,22
BIHAR,05-20-22,L,24
BIHAR,05-21-22,L,23
BIHAR,05-22-22,S,23
BIHAR,05-23-22,L,26
BIHAR,05-24-22,L,27
BIHAR,05-25-22,L,22
BIHAR,05-26-22,L,26
BIHAR,05-27-22,L,23
BIHAR,05-28-22,L,22
BIHAR,05-29-22,M,22
BIHAR,05-30-22,M,21
BIHAR,05-31-22,M,22
BIHAR,06-01-22,M,20
BIHAR,06-02-22,S,19
BIHAR,06-03-22,S,22
BIHAR,06-04-22,M,24
BIHAR,06-05-22,L,19
BIHAR,06-06-22,M,26
BIHAR,06-07-22,M,26
BIHAR,06-08-22,M,29
BIHAR,06-09-22,M,30
BIHAR,06-10-22,M,28
BIHAR,06-11-22,M,29
BIHAR,06-12-22,M,32
BIHAR,06-13-22,XXL,29
BIHAR,06-14-22,M,28
BIHAR,06-15-22,L,28
BIHAR,06-16-22,M,25
BIHAR,06-17-22,M,25
BIHAR,06-18-22,M,25
BIHAR,06-19-22,M,26
BIHAR,06-20-22,M,29
BIHAR,06-21-22,L,27
BIHAR,06-22-22,M,29
BIHAR,06-23-22,S,30
BIHAR,06-24-22,S,27
BIHAR,06-25-22,S,29
BIHAR,06-26-22,S,27
BIHAR,06-27-22,S,28
BIHAR,06-28-22,S,27
BIHAR,06-29-22,S,23
BIHAR,06-30-22,M,18
BIHAR,07-01-22,S,16
BIHAR,07-02-22,S,12
BIHAR,07-03-22,S,11
BIHAR,07-04-22,S,7
BIHAR,07-05-22,S,3
BIHAR,07-06-22,S,2
CHANDIGARH,04-01-22,3XL,1
CHANDIGARH,04-02-22,3XL,4
CHANDIGARH,04-03-22,3XL,4
CHANDIGARH,04-04-22,3XL,4
CHANDIGARH,04-05-22,3XL,4
CHANDIGARH,04-06-22,3XL,4
CHANDIGARH,04-07-22,3XL,4
CHANDIGARH,04-08-22,L,5
CHANDIGARH,04-09-22,L,8
CHANDIGARH,04-10-22,L,8
CHANDIGARH,04-11-22,L,8
CHANDIGARH,04-12-22,L,9
CHANDIGARH,04-13-22,L,7
CHANDIGARH,04-14-22,L,8
CHANDIGARH,04-15-22,L,7
CHANDIGARH,04-16-22,3XL,5
CHANDIGARH,04-17-22,3XL,5
CHANDIGARH,04-18-22,L,5
CHANDIGARH,04-19-22,L,5
CHANDIGARH,04-20-22,L,6
CHANDIGARH,04-21-22,M,6
CHANDIGARH,04-22-22,M,5
CHANDIGARH,04-23-22,L,12
CHANDIGARH,04-24-22,L,14
CHANDIGARH,04-25-22,L,14
CHANDIGARH,04-26-22,L,13
CHANDIGARH,04-27-22,L,12
CHANDIGARH,04-28-22,L,12
CHANDIGARH,04-29-22,L,11
CHANDIGARH,04-30-22,M,7
CHANDIGARH,05-01-22,M,6
CHANDIGARH,05-02-22,XXL,6
CHANDIGARH,05-03-22,XXL,4
CHANDIGARH,05-04-22,3XL,4
CHANDIGARH,05-05-22,3XL,5
CHANDIGARH,05-06-22,3XL,7
CHANDIGARH,05-07-22,3XL,7
CHANDIGARH,05-08-22,3XL,9
CHANDIGARH,05-09-22,3XL,8
CHANDIGARH,05-10-22,3XL,8
CHANDIGARH,05-11-22,XL,7
CHANDIGARH,05-12-22,M,6
CHANDIGARH,05-13-22,XL,5
CHANDIGARH,05-14-22,M,4
CHANDIGARH,05-15-22,M,6
CHANDIGARH,05-16-22,3XL,5
CHANDIGARH,05-17-22,3XL,6
CHANDIGARH,05-18-22,3XL,6
CHANDIGARH,05-19-22,3XL,6
CHANDIGARH,05-20-22,3XL,6
CHANDIGARH,05-21-22,3XL,7
CHANDIGARH,05-22-22,XL,6
CHANDIGARH,05-23-22,XL,5
CHANDIGARH,05-24-22,L,6
CHANDIGARH,05-25-22,L,6
CHANDIGARH,05-26-22,L,4
CHANDIGARH,05-27-22,M,3
CHANDIGARH,05-28-22,XXL,4
CHANDIGARH,05-29-22,XXL,4
CHANDIGARH,05-30-22,XXL,4
CHANDIGARH,05-31-22,XXL,4
CHANDIGARH,06-01-22,XXL,5
CHANDIGARH,06-02-22,XXL,5
CHANDIGARH,06-03-22,L,5
CHANDIGARH,06-04-22,L,7
CHANDIGARH,06-05-22,L,7
CHANDIGARH,06-06-22,L,7
CHANDIGARH,06-07-22,XL,6
CHANDIGARH,06-08-22,XL,6
CHANDIGARH,06-09-22,XL,4
CHANDIGARH,06-10-22,XL,6
CHANDIGARH,06-11-22,M,7
CHANDIGARH,06-12-22,M,7
CHANDIGARH,06-13-22,M,7
CHANDIGARH,06-14-22,M,6
CHANDIGARH,06-15-22,M,7
CHANDIGARH,06-16-22,M,7
CHANDIGARH,06-17-22,M,6
CHANDIGARH,06-18-22,XL,6
CHANDIGARH,06-19-22,L,5
CHANDIGARH,06-20-22,M,5
CHANDIGARH,06-21-22,M,5
CHANDIGARH,06-22-22,M,4
CHANDIGARH,06-23-22,M,3
CHANDIGARH,06-24-22,M,4
CHANDIGARH,06-25-22,3XL,3
CHANDIGARH,06-26-22,M,3
CHANDIGARH,06-27-22,XS,5
CHANDIGARH,06-28-22,XS,5
CHANDIGARH,06-29-22,M,4
CHANDIGARH,06-30-22,M,4
CHANDIGARH,07-01-22,M,3
CHANDIGARH,07-02-22,M,3
CHANDIGARH,07-03-22,M,2
CHANDIGARH,07-04-22,S,1
CHANDIGARH,07-05-22,S,1
CHHATTISGARH,04-01-22,M,1
CHHATTISGARH,04-02-22,L,3
CHHATTISGARH,04-03-22,L,5
CHHATTISGARH,04-04-22,M,9
CHHATTISGARH,04-05-22,M,11
CHHATTISGARH,04-06-22,M,11
CHHATTISGARH,04-07-22,M,12
CHHATTISGARH,04-08-22,S,13
CHHATTISGARH,04-09-22,M,15
CHHATTISGARH,04-10-22,S,15
CHHATTISGARH,04-11-22,S,16
CHHATTISGARH,04-12-22,S,20
CHHATTISGARH,04-13-22,S,16
CHHATTISGARH,04-14-22,S,16
CHHATTISGARH,04-15-22,M,15
CHHATTISGARH,04-16-22,S,16
CHHATTISGARH,04-17-22,S,15
CHHATTISGARH,04-18-22,S,17
CHHATTISGARH,04-19-22,S,15
CHHATTISGARH,04-20-22,S,17
CHHATTISGARH,04-21-22,S,19
CHHATTISGARH,04-22-22,S,19
CHHATTISGARH,04-23-22,S,16
CHHATTISGARH,04-24-22,M,18
CHHATTISGARH,04-25-22,M,21
CHHATTISGARH,04-26-22,M,20
CHHATTISGARH,04-27-22,M,17
CHHATTISGARH,04-28-22,M,18
CHHATTISGARH,04-29-22,M,19
CHHATTISGARH,04-30-22,M,20
CHHATTISGARH,05-01-22,M,19
CHHATTISGARH,05-02-22,M,17
CHHATTISGARH,05-03-22,M,17
CHHATTISGARH,05-04-22,S,16
CHHATTISGARH,05-05-22,S,17
CHHATTISGARH,05-06-22,S,16
CHHATTISGARH,05-07-22,S,15
CHHATTISGARH,05-08-22,S,14
CHHATTISGARH,05-09-22,M,11
CHHATTISGARH,05-10-22,M,11
CHHATTISGARH,05-11-22,M,12
CHHATTISGARH,05-12-22,M,12
CHHATTISGARH,05-13-22,M,12
CHHATTISGARH,05-14-22,M,11
CHHATTISGARH,05-15-22,M,13
CHHATTISGARH,05-16-22,L,10
CHHATTISGARH,05-17-22,L,14
CHHATTISGARH,05-18-22,L,14
CHHATTISGARH,05-19-22,L,15
CHHATTISGARH,05-20-22,L,15
CHHATTISGARH,05-21-22,L,15
CHHATTISGARH,05-22-22,L,16
CHHATTISGARH,05-23-22,L,15
CHHATTISGARH,05-24-22,L,16
CHHATTISGARH,05-25-22,L,17
CHHATTISGARH,05-26-22,L,15
CHHATTISGARH,05-27-22,L,14
CHHATTISGARH,05-28-22,L,15
CHHATTISGARH,05-29-22,L,14
CHHATTISGARH,05-30-22,M,14
CHHATTISGARH,05-31-22,M,13
CHHATTISGARH,06-01-22,M,13
CHHATTISGARH,06-02-22,M,13
CHHATTISGARH,06-03-22,S,12
CHHATTISGARH,06-04-22,S,11
CHHATTISGARH,06-05-22,XL,10
CHHATTISGARH,06-06-22,S,13
CHHATTISGARH,06-07-22,S,10
CHHATTISGARH,06-08-22,M,10
CHHATTISGARH,06-09-22,M,11
CHHATTISGARH,06-10-22,M,13
CHHATTISGARH,06-11-22,M,13
CHHATTISGARH,06-12-22,M,15
CHHATTISGARH,06-13-22,M,16
CHHATTISGARH,06-14-22,L,14
CHHATTISGARH,06-15-22,L,14
CHHATTISGARH,06-16-22,L,13
CHHATTISGARH,06-17-22,M,10
CHHATTISGARH,06-18-22,M,12
CHHATTISGARH,06-19-22,L,10
CHHATTISGARH,06-20-22,XXL,9
CHHATTISGARH,06-21-22,M,11
CHHATTISGARH,06-22-22,M,13
CHHATTISGARH,06-23-22,M,17
CHHATTISGARH,06-24-22,M,16
CHHATTISGARH,06-25-22,M,15
CHHATTISGARH,06-26-22,M,18
CHHATTISGARH,06-27-22,M,17
CHHATTISGARH,06-28-22,M,15
CHHATTISGARH,06-29-22,M,13
CHHATTISGARH,06-30-22,M,9
CHHATTISGARH,07-01-22,M,7
CHHATTISGARH,07-02-22,M,6
CHHATTISGARH,07-03-22,M,3
CHHATTISGARH,07-04-22,M,2
CHHATTISGARH,07-05-22,M,1
DADRA AND NAGAR,04-02-22,XS,1
DADRA AND NAGAR,04-03-22,XS,1
DADRA AND NAGAR,04-04-22,XL,1
